Stringlen,Sonar1,Sonar2,Infared1,Infared2,Infared3
21,75, 16, 150, 1278, 14
21,87, 16, 213, 1278, 14
19,75, 17, 79, 232, 15
21,79, 16, 150, 1278, 15
19,86, 16, 121, 94, 35
19,73, 16, 71, 511, 15
20,77, 16, 182, 284, 21
20,88, 16, 213, 852, 15
20,77, 17, 319, 426, 10
19,77, 21, 121, 91, 22
21,75, 82, 213, 2557, 22
19,66, 76, 142, 48, 14
18,78, 76, 170, 9, 14
21,81, 76, 213, 1278, 14
19,76, 72, 150, 24, 13
19,76, 14, 213, 22, 13
18,76, 71, 284, 9, 14
19,75, 72, 213, 16, 12
18,75, 69, 170, 15, 9
18,70, 66, 159, 13, 6
18,68, 13, 639, 13, 7
18,67, 63, 196, 13, 7
18,63, 62, 102, 14, 7
19,62, 61, 1278, 13, 7
17,60, 56, 639, 7, 7
17,61, 56, 319, 7, 7
17,56, 53, 426, 7, 7
17,53, 54, 159, 7, 6
18,54, 52, 319, 7, 20
16,54, 48, 0, 6, 91
17,52, 46, 0, 6, 639
19,67, 44, 365, 6, 111
19,56, 40, 142, 10, 59
18,54, 38, 0, 26, 511
20,92, 36, 426, 1278, 0
22,56, 41, 232, 1278, 852
20,55, 31, 232, 852, 94
22,102, 30, 365, 852, 159
19,101, 29, 0, 426, 69
21,99, 27, 127, 134, 852
22,97, 31, 1278, 196, 159
20,97, 27, 255, 852, 69
21,95, 23, 511, 51, 1278
19,92, 21, 98, 142, 71
20,90, 19, 94, 284, 213
21,87, 17, 852, 159, 232
21,83, 99, 150, 182, 365
22,80, 90, 2557, 365, 284
22,79, 86, 1278, 284, 232
20,67, 84, 426, 255, 17
17,77, 81, 52, 77, 4
19,74, 17, 111, 213, 8
18,72, 78, 98, 426, 8
18,71, 78, 65, 426, 8
18,67, 74, 63, 213, 8
17,66, 72, 69, 91, 8
17,65, 75, 52, 29, 8
17,64, 69, 196, 6, 8
16,62, 69, 39, 8, 9
16,59, 64, 25, 8, 9
16,56, 63, 91, 8, 9
18,55, 60, 67, 8, 213
18,55, 59, 48, 7, 365
19,55, 58, 85, 7, 1278
16,54, 57, 73, 7, 0
18,54, 59, 34, 7, 196
18,55, 57, 69, 7, 852
18,55, 60, 47, 7, 852
18,55, 59, 31, 7, 365
19,54, 59, 50, 7, 1278
16,54, 61, 75, 8, 0
18,56, 59, 40, 8, 511
16,56, 64, 47, 8, 0
16,57, 63, 55, 9, 0
19,58, 64, 44, 9, 2557
19,60, 66, 33, 9, 1278
17,60, 64, 31, 8, 16
17,63, 64, 28, 8, 16
17,66, 66, 46, 8, 18
17,68, 66, 50, 8, 19
17,71, 68, 34, 7, 18
18,72, 71, 39, 10, 16
17,74, 74, 38, 7, 14
17,76, 75, 25, 8, 12
18,78, 78, 34, 13, 11
17,81, 80, 31, 16, 8
17,81, 82, 21, 46, 9
18,83, 84, 25, 852, 6
20,84, 85, 22, 1278, 11
19,86, 90, 20, 511, 14
19,87, 87, 15, 852, 18
17,89, 88, 16, 0, 37
17,90, 7, 18, 852, 0
17,91, 7, 14, 0, 232
17,94, 9, 11, 0, 365
18,12, 9, 9, 852, 255
19,10, 10, 8, 196, 852
18,11, 13, 7, 213, 44
19,11, 52, 7, 150, 170
18,11, 54, 7, 77, 426
18,11, 25, 7, 79, 142
18,11, 24, 7, 50, 170
18,11, 23, 7, 63, 170
17,11, 22, 7, 0, 116
18,11, 21, 7, 50, 852
18,11, 22, 7, 82, 134
19,11, 22, 7, 255, 134
18,11, 22, 7, 88, 255
19,11, 22, 7, 111, 319
19,11, 22, 7, 213, 182
18,11, 22, 7, 85, 170
19,11, 14, 7, 852, 365
18,11, 22, 7, 48, 639
19,11, 22, 7, 94, 1278
18,11, 14, 7, 79, 116
19,11, 21, 7, 639, 232
17,11, 22, 7, 255, 0
17,11, 22, 7, 121, 0
17,11, 22, 7, 0, 102
20,11, 22, 7, 2557, 170
18,11, 22, 7, 63, 102
19,11, 22, 7, 255, 852
19,11, 22, 7, 182, 232
18,11, 22, 7, 91, 639
19,11, 22, 7, 159, 111
18,11, 22, 7, 79, 232
19,11, 22, 7, 852, 284
19,11, 22, 7, 53, 1278
17,11, 22, 7, 44, 32
20,11, 22, 7, 106, 1278
18,11, 22, 7, 85, 182
18,11, 22, 7, 94, 232
19,11, 22, 7, 159, 319
18,11, 22, 7, 59, 426
